burger;Gorilla;Flæsketorvet 63
cheeseburger;The Market Asian;Kirsten Bernikows Gade 11
chickenbruger;Wokshop;Reberbanegade 3
double beef burger;Wokshop;Ny Adelgade 6
pasta carbonara;Wok;Torvegade 49
americano;Kung Fu Street Food;Berenstorffsgade 3
crossaint;Ricemarket;Hausergade 38
mexican beef;II Mattarello;Linnesgade 17
goulash;Geranium;Per Henrik Lings Alle 4
steak fettuccine;Juno;Århusgade 48
baked risotto with lemon;Gasoline Grill;Landgreven 10
one-pan coconut-lime chicken;Goldfinch;Kongens Nytorv 8
hamburger;Popl Burger;Strandgade 108
lasagna;Sushi Anaba;Sandkaj 39
pizza magarita;Hart Bageri;Galionsvej 41
sushi bowl;Mama Rosa;Østergade 57
taiwanese hot pot;mother;Høkerboderne 9
nigiri;Hard Rock Cafe;Rådhuspladsen 45
wasabi;Gorilla;Flæsketorvet 63
alcatra;The Market Asian;Kirsten Bernikows Gade 11
vegan tacos;Wokshop;Reberbanegade 3
shrimp tacos;Wokshop;Ny Adelgade 6
beef tacos;Wok;Torvegade 49
tiramisu;Kung Fu Street Food;Berenstorffsgade 3
pappardelle al cinghiale;Ricemarket;Hausergade 38
risotto;Baan Thai Isarn;Lille Istedgade 7
shrimp risotto;District Tonkin;Store Kongensgade 71
fries;II Buco;Njalsgade 19
pizza hawaii;Wokshop;Valby Langgade 65
bun;Wokshop;Reberbanegade 3
cinnamon snail;Wokshop;Ny Adelgade 6
pancakes;Wok;Torvegade 49
latte;Kung Fu Street Food;Berenstorffsgade 3
cappuchino;Ricemarket;Hausergade 38
kakab;Baan Thai Isarn;Lille Istedgade 7
chicken tabaka;District Tonkin;Store Kongensgade 71
durum;II Buco;Njalsgade 19
beef stew;Wokshop;Valby Langgade 65
sourdough bread;mother;Høkerboderne 9
