burger,Gorilla,kbh V
cheeseburger,The Market Asian,frb
chickenbruger,Wokshop,kbh S
pasta carbonara,Wok,frb
americano,Kung Fu Street Food,kbh Ø
crossaint,Ricemarket,kbh S
mexican beef,II Mattarello,frb
goulash,Geranium,kbh Ø
steak fettuccine,Juno,kbh Ø
baked risotto with lemon,Gasoline Grill,kbh Ø
one-pan coconut-lime chicken,Goldfinch,kbh Ø
hamburger,Popl Burger,kbh S
lasagna,Sushi Anaba,kbh Ø
pizza magarita,Hart Bageri,frb
sushi bowl,Mama Rosa,kbh Ø
taiwanese hot pot,mother,kbh V
nigiri,Hard Rock Cafe,kbh V
wasabi,Gorilla,kbh V
alcatra,The Market Asian,frb
vegan tacos,Wokshop,kbh S
beef tacos,Wok,frb
tiramisu,Kung Fu Street Food,kbh Ø
pappardelle al cinghiale,Ricemarket,kbh S
risotto,Baan Thai Isarn,kbh V
shrimp risotto,District Tonkin,kbh Ø
fries,II Buco,kbh S
bun,Wokshop,kbh S
pancakes,Wok,frb
latte,Kung Fu Street Food,kbh Ø
cappuchino,Ricemarket,kbh S
kakab,Baan Thai Isarn,kbh V
chicken tabaka,District Tonkin,kbh Ø
durum,II Buco,kbh S
sourdough bread,mother,kbh V
spagetti, mother,kbh V
fries, Hard Rock Cafe,kbh V
10 special dishes, Gorilla,kbh V
everything noodles, The Market Asian,frb
chicken rice curry, Wokshop,kbh S
chicken noodle curry, Wok,frb
green curry, Kung Fu Street Food,kbh Ø
red chicken thai curry, Ricemarket,Kbh S
vegan curry, Baan Thai Isarn,kbh V
vegan noodle soup, District Tonkin,kbh Ø
pizza biance, II Buco,kbh S
