Kababistan;Istedgade 105;;;;;
Prolog Coffee Bar;Høkerboderne 16;;;;;
Kødbyens Fiskebar;Flæsketorvet 100;;;;;michlelin
Slurp Ramen Joint;Nansensgade 90;;;;;turkish
Frankies;Grønnegade 33;;;;;coffee
Frankies;Linnesgade 14;;;;;bakery
Frankies;Sortedams Dossering 3;;;;;french
II Mattarello;Linnesgade 17;;;;;chinese
Geranium;Per Henrik Lings Alle 4;;;;;japanese
Juno;Århusgade 48;;;;;thai
Gasoline Grill;Landgreven 10;;;;;italian
Goldfinch;Kongens Nytorv 8;;;;;greek
Popl Burger;Strandgade 108;;;;;spanish
Sushi Anaba;Sandkaj 39;;;;;american
Hart Bageri;Galionsvej 41;;;;;turkish
Mama Rosa;Østergade 57;;;;;indian
mother;Høkerboderne 9;;;;;
Hard Rock Cafe;Rådhuspladsen 45;;;;;
Gorilla;Flæsketorvet 63;;;;;
The Market Asian;Kirsten Bernikows Gade 11;;;;;
Wokshop;Reberbanegade 3;;;;;
Wokshop;Ny Adelgade 6;;;;;
Wok;Torvegade 49;;;;;
Kung Fu Street Food;Berenstorffsgade 3;;;;;
Ricemarket;Hausergade 38;;;;;
Baan Thai Isarn;Lille Istedgade 7;;;;;
District Tonkin;Store Kongensgade 71;;;;;
II Buco;Njalsgade 19;;;;;
Wokshop;Valby Langgade 65;;;;;
